Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,64511,0,32,2947.4080797148226,17.90130399967893,405654.21562899975,59860.0,49.754318148851766,0.0,32,35,38,40,48,56,80,170,400000,404000,406000
GET,/?p=1,32004,0,28,2871.720043174701,15.72913600011816,405529.3016920005,31654.0,24.68318888307191,0.0,28,31,33,35,42,50,70,160,398000,405000,406000
,Aggregated,96515,0,31,2922.310220092686,15.72913600011816,405654.21562899975,50506.99969952857,74.43750703192367,0.0,31,34,37,39,46,55,76,170,400000,405000,406000
