Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15607,0,28,1296.6146231352004,17.167227000300045,213397.50103999994,59860.0,49.68923669029625,0.0,28,31,34,36,43,51,64,93,208000,213000,213000
GET,/?p=1,7767,0,24,1366.781866856058,15.15454199989108,208424.32210900006,31654.0,24.728410416706026,0.0,24,28,30,32,39,46,56,80,206000,208000,208000
,Aggregated,23374,0,27,1319.9306572748385,15.15454199989108,213397.50103999994,50487.36365192094,74.41764710700228,0.0,27,30,33,35,42,50,62,90,207000,210000,213000
