Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5868,0,30,33.161042297375865,18.085462999806623,1015.446322000571,59860.0,49.886488420009336,0.0,30,33,36,38,46,54,65,84,170,1000,1000
GET,/?p=1,2880,0,26,28.852316035401913,15.72913600011816,162.68050500002573,31654.0,24.484166095710105,0.0,26,29,32,34,40,48,58,71,150,160,160
,Aggregated,8748,0,29,31.742531593845264,15.72913600011816,1015.446322000571,50574.07407407407,74.37065451571944,0.0,29,32,35,37,44,52,63,80,170,1000,1000
